season,n_playoff_teams,champion_rank_model,champion_rank_seed_baseline,log_loss,brier
2005,12,8,8,0.3337640540435765,0.09198939927112974
2006,11,11,7,0.5369837108910349,0.13873391404963778
2007,11,11,7,0.6154822217382553,0.12095869082565244
2008,11,2,4,0.25813881782112896,0.07369708202057332
2009,11,4,2,0.2931866208981564,0.08172680202099453
2010,12,4,7,0.24794824724753986,0.07166480149702088
2011,12,11,12,0.4670842042732013,0.10407679622815787
2012,12,12,11,0.42018266820097167,0.10297956409072863
2013,11,1,2,0.23698246423733116,0.0621835150973443
2014,12,1,1,0.2302738339953435,0.06635087863929913
2015,12,6,5,0.30536861462393117,0.08735707344221565
2016,11,2,2,0.2703295277491952,0.07828420876811654
2017,12,4,2,0.27133033151161406,0.08042413760453053
2018,12,7,6,0.32461208743473635,0.08287451555670834
2019,12,7,6,0.37212147567417425,0.11338623025761067
2020,14,10,8,0.29939570149094114,0.07851248330553652
2021,14,10,8,0.34347695412349477,0.08692089539121568
2022,14,7,1,0.29223067541994713,0.07844898346019927
2023,14,4,6,0.2436986600970493,0.06764357883480984
2024,14,9,4,0.2913507995260479,0.07478083309543272
