"team","points_scored","points_allowed","pass_rush_rating","sack_rate","pressure_rate","pass_block_rating","sacks_allowed_rate","protection_rate","wins","losses","ties","win_pct","primary_qb","coach","passing_epa","total_pass_plays","rushing_epa","total_rush_plays","total_offensive_epa","total_plays","defensive_epa","defensive_pass_epa","defensive_rush_epa","season"
"BAL",483,280,12.1508379888268,0.0779220779220779,0.225974025974026,92.1469740634006,0.0632716049382716,0.83179012345679,13,4,0,0.764705882352941,"Lamar Jackson","John Harbaugh",0.112941790367397,648,0.01127153233582,463,0.0495885560869168,1412,-0.112824836120297,-0.147305441856012,-0.0902229210218296,2023
"BUF",451,311,12.3215627347859,0.0778097982708934,0.236311239193084,92.9547088425593,0.0347322720694645,0.858176555716353,11,6,0,0.647058823529412,"Josh Allen","Sean McDermott",0.155018535476431,691,0.0104194846307701,448,0.0618906840820664,1421,-0.0521132431407585,-0.0416269247108831,-0.0681247724287252,2023
"CLE",396,362,10.9747292418773,0.0748091603053435,0.23206106870229,89.9070385126162,0.0613915416098226,0.792633015006821,11,6,0,0.647058823529412,"Deshaun Watson","Kevin Stefanski",-0.130760214959823,733,-0.112007874385331,492,-0.0980886374460205,1534,-0.140292700646041,-0.186866451946292,-0.102391574895298,2023
"DAL",509,315,10.4354354354354,0.0719874804381847,0.217527386541471,91.0374029640085,0.054719562243502,0.826265389876881,12,5,0,0.705882352941177,"Dak Prescott","Mike McCarthy",0.23199925683621,731,-0.0599947854640651,431,0.0943264702311135,1443,-0.0765217084419615,-0.0617539953158171,-0.126241761240146,2023
"DET",461,395,11.5727002967359,0.0580736543909348,0.220963172804533,90.7303370786517,0.0461997019374069,0.80327868852459,12,5,0,0.705882352941177,"Jared Goff","Dan Campbell",0.108602067676492,671,-0.0113252965292089,485,0.0183495886432832,1455,-0.0324550625601504,0.0785576149047011,-0.175725984945022,2023
"GB",383,350,10.8727810650888,0.0692307692307692,0.226153846153846,92.2619047619048,0.0451807228915663,0.843373493975904,9,8,0,0.529411764705882,"Jordan Love","Matt LaFleur",0.15652146566983,664,-0.0580609191232202,416,0.0294387861083845,1368,-0.00192535100744011,0.0662387010023924,-0.0687271813473742,2023
"HOU",377,353,11.0157367668097,0.0664739884393064,0.222543352601156,90.4080171796707,0.067238912732475,0.80829756795422,10,7,0,0.588235294117647,"C.J. Stroud","DeMeco Ryans",0.05887931883002,699,-0.163103132215438,427,-0.0192956036204654,1424,-0.0369948940128302,0.0517153461371621,-0.156926824593955,2023
"KC",371,294,13.2730015082956,0.0838235294117647,0.258823529411765,90.0442477876106,0.0369881109643329,0.821664464993395,11,6,0,0.647058823529412,"Patrick Mahomes","Andy Reid",0.0822365422877949,757,-0.113916654165643,349,-0.00301859786766999,1385,-0.0702632533098184,-0.100249104551955,-0.0284220468270437,2023
"LA",404,377,9.10404624277458,0.0572625698324022,0.175977653631285,91.3105413105413,0.0500736377025037,0.820324005891016,10,7,0,0.588235294117647,"Matthew Stafford","Sean McVay",0.0867481429078943,679,-0.0196793569523072,459,-0.0015956325842226,1426,-0.0242378119677731,0.0390493038621264,-0.0987507011491553,2023
"MIA",496,391,13.6996336996337,0.0809248554913295,0.270231213872832,93.3283914010378,0.04858934169279,0.858934169278997,11,6,0,0.647058823529412,"Tua Tagovailoa","Mike McDaniel",0.163783743955212,638,-0.00886867550413076,441,0.0708677036947708,1378,-0.0203809725733183,0.0105388264717891,-0.100518692709725,2023
"PHI",433,428,10.0424328147101,0.055627425614489,0.183699870633894,92.8011404133998,0.0574374079528719,0.851251840942563,11,6,0,0.647058823529412,"Jalen Hurts","Nick Sirianni",0.104965099353917,679,-0.00415962130459365,459,0.0515922888457776,1433,0.0419358265180835,0.0963074928185128,-0.0149228989079872,2023
"PIT",304,324,10.9499637418419,0.0682148040638607,0.219158200290276,90.7153729071537,0.0601001669449082,0.796327212020033,10,7,0,0.588235294117647,"Kenny Pickett","Mike Tomlin",-0.0599541149606239,599,-0.0706668641918763,446,-0.0755854369480335,1347,-0.0565383640071054,-0.0218482446706817,-0.110637810709077,2023
"SF",491,298,12.059925093633,0.064,0.214666666666667,91.4110429447853,0.0595446584938704,0.80385288966725,12,5,0,0.705882352941177,"Brock Purdy","Kyle Shanahan",0.297622829658808,571,0.0344222394791404,468,0.122081840538663,1340,-0.0455057850236205,-0.0597974085428196,-0.0439585583584439,2023
"TB",348,325,9.59004392386531,0.0670391061452514,0.182960893854749,91.4137675795707,0.0585651537335286,0.830161054172767,9,8,0,0.529411764705882,"Baker Mayfield","Todd Bowles",0.10971436679475,683,-0.165533694556552,397,-0.0191893994556359,1384,-0.0401773150173762,0.0602400003040429,-0.163587312660261,2023
