"season","game_type","gameday","underdog","winner","loser","away_score","home_score","spread_line","spread_magnitude","temp","wind","roof"
2016,"DIV","2017-01-14","HOU","NE","HOU",16,34,16,16,28,6,"outdoors"
2007,"CON","2008-01-20","SD","NE","SD",12,21,14,14,23,17,"outdoors"
2011,"DIV","2012-01-14","DEN","NE","DEN",10,45,14,14,24,13,"outdoors"
2022,"WC","2023-01-15","MIA","BUF","MIA",31,34,14,14,27,4,"outdoors"
2007,"DIV","2008-01-12","JAX","NE","JAX",20,31,13.5,13.5,37,5,"outdoors"
2014,"DIV","2015-01-10","CAR","SEA","CAR",17,31,13.5,13.5,48,0,"outdoors"
2017,"DIV","2018-01-13","TEN","NE","TEN",14,35,13.5,13.5,24,12,"outdoors"
2021,"WC","2022-01-16","PIT","KC","PIT",21,42,13,13,30,8,"outdoors"
2001,"DIV","2002-01-20","GB","STL","GB",17,45,11,11,NA,NA,"dome"
2001,"CON","2002-01-27","PHI","STL","PHI",24,29,11,11,NA,NA,"dome"
2016,"WC","2017-01-08","MIA","PIT","MIA",12,30,11,11,17,16,"outdoors"
2020,"WC","2021-01-10","CHI","NO","CHI",9,21,11,11,NA,NA,"dome"
2007,"WC","2008-01-06","TEN","SD","TEN",6,17,10.5,10.5,57,8,"outdoors"
2011,"WC","2012-01-07","DET","NO","DET",28,45,10.5,10.5,NA,NA,"dome"
2012,"WC","2013-01-05","MIN","GB","MIN",10,24,10.5,10.5,29,9,"outdoors"
2023,"DIV","2024-01-20","GB","SF","GB",21,24,10.5,10.5,59,8,"outdoors"
2004,"WC","2005-01-09","DEN","IND","DEN",24,49,10,10,NA,NA,"dome"
2010,"DIV","2011-01-16","SEA","CHI","SEA",24,35,10,10,24,4,"outdoors"
2013,"DIV","2014-01-11","NO","SEA","NO",15,23,10,10,48,20,"outdoors"
2019,"DIV","2020-01-12","HOU","KC","HOU",31,51,10,10,NA,NA,"outdoors"
2020,"WC","2021-01-09","WAS","TB","WAS",31,23,-10,10,40,10,"outdoors"
2022,"WC","2023-01-14","SEA","SF","SEA",23,41,10,10,57,11,"outdoors"
2022,"DIV","2023-01-21","JAX","KC","JAX",20,27,10,10,36,6,"outdoors"
2023,"WC","2024-01-15","PIT","BUF","PIT",17,31,10,10,17,10,"outdoors"
2023,"DIV","2024-01-20","HOU","BAL","HOU",10,34,10,10,27,16,"outdoors"
2006,"WC","2007-01-07","NYJ","NE","NYJ",16,37,9.5,9.5,50,8,"outdoors"
2012,"DIV","2013-01-13","HOU","NE","HOU",28,41,9.5,9.5,51,10,"outdoors"
2024,"WC","2025-01-11","PIT","BAL","PIT",14,28,9.5,9.5,32,12,"outdoors"
2024,"DIV","2025-01-18","HOU","KC","HOU",14,23,9.5,9.5,23,17,"outdoors"
2000,"DIV","2001-01-06","MIA","OAK","MIA",0,27,9,9,58,6,"outdoors"
2002,"CON","2003-01-19","TEN","OAK","TEN",24,41,9,9,52,9,"outdoors"
2004,"DIV","2005-01-15","NYJ","PIT","NYJ",17,20,9,9,28,5,"outdoors"
2007,"DIV","2008-01-12","SEA","GB","SEA",20,42,9,9,31,4,"outdoors"
2005,"DIV","2006-01-14","WAS","SEA","WAS",10,20,8.5,8.5,44,1,"outdoors"
2014,"CON","2015-01-18","GB","SEA","GB",22,28,8.5,8.5,52,15,"outdoors"
2017,"WC","2018-01-07","BUF","JAX","BUF",3,10,8.5,8.5,53,18,"outdoors"
2018,"DIV","2019-01-13","PHI","NO","PHI",14,20,8.5,8.5,NA,NA,"dome"
2000,"DIV","2001-01-06","NO","MIN","NO",16,34,8,8,NA,NA,"dome"
2002,"WC","2003-01-05","CLE","PIT","CLE",33,36,8,8,27,5,"outdoors"
2004,"DIV","2005-01-16","MIN","PHI","MIN",14,27,8,8,31,16,"outdoors"
2005,"WC","2006-01-07","JAX","NE","JAX",3,28,8,8,24,0,"outdoors"
2009,"CON","2010-01-24","NYJ","IND","NYJ",17,30,8,8,NA,NA,"closed"
2013,"DIV","2014-01-12","SD","DEN","SD",17,24,8,8,41,17,"outdoors"
2016,"WC","2017-01-07","DET","SEA","DET",6,26,8,8,38,7,"outdoors"
2019,"CON","2020-01-19","GB","SF","GB",20,37,8,8,58,5,"outdoors"
2022,"DIV","2023-01-21","NYG","PHI","NYG",7,38,8,8,40,6,"outdoors"
2002,"DIV","2003-01-11","ATL","PHI","ATL",6,20,7.5,7.5,29,10,"outdoors"
2003,"WC","2004-01-04","SEA","GB","SEA",27,33,7.5,7.5,20,14,"outdoors"
2011,"DIV","2012-01-15","HOU","BAL","HOU",13,20,7.5,7.5,31,7,"outdoors"
2012,"WC","2013-01-06","IND","BAL","IND",9,24,7.5,7.5,49,8,"outdoors"
2013,"DIV","2014-01-11","IND","NE","IND",22,43,7.5,7.5,57,18,"outdoors"
2017,"CON","2018-01-21","JAX","NE","JAX",20,24,7.5,7.5,48,3,"outdoors"
