"season","game_type","week","gameday","away_team","away_score","home_team","home_score","location","overtime","winner","loser","away_offensive_epa","away_passing_epa","away_rushing_epa","away_defensive_epa","away_defensive_pass_epa","away_defensive_rush_epa","home_offensive_epa","home_passing_epa","home_rushing_epa","home_defensive_epa","home_defensive_pass_epa","home_defensive_rush_epa"
2000,"WC",18,"2000-12-30","IND",17,"MIA",23,"Home",1,"MIA","IND",0.100923784256193,0.248321484717235,-0.0669317066504211,0.0176699076961101,0.0486580296578115,-0.0546922046972449,-0.00920365788056992,0.0806703220019915,-0.150383216285506,-0.0967741101768136,-0.0760468257905758,-0.169073804268881
2000,"WC",18,"2000-12-30","STL",28,"NO",31,"Home",0,"NO","STL",NA,NA,NA,NA,NA,NA,0.00652643831905844,0.0846037952827839,-0.101256622427185,-0.0327383984811677,-0.0582455618209504,-0.0931092856215077
2000,"WC",18,"2000-12-31","DEN",3,"BAL",21,"Home",0,"BAL","DEN",0.0741821815339874,0.170374872184989,-0.026281820895496,-0.00688365695250854,0.0183076932741963,-0.138546855133957,-0.0184578957690684,-0.0588303945326577,-0.0496076728349038,-0.157649127121095,-0.129676286460665,-0.369403171538679
2000,"WC",18,"2000-12-31","TB",3,"PHI",21,"Home",0,"PHI","TB",0.00309597856874338,0.0405714010382773,-0.0834172223538308,-0.0863142110161186,-0.134461366969362,-0.072315772299404,0.0412901644492381,0.0628784620248427,-0.138475298559291,-0.0356929933842819,-0.0743720276384655,-0.101989123490116
2000,"DIV",19,"2001-01-06","NO",16,"MIN",34,"Home",0,"MIN","NO",0.00652643831905844,0.0846037952827839,-0.101256622427185,-0.0327383984811677,-0.0582455618209504,-0.0931092856215077,0.0953009603003527,0.187037378932334,-0.0262658077147591,0.0695255856273322,0.14863898541443,-0.0490790633324432
2000,"DIV",19,"2001-01-06","MIA",0,"OAK",27,"Home",0,"OAK","MIA",-0.00920365788056992,0.0806703220019915,-0.150383216285506,-0.0967741101768136,-0.0760468257905758,-0.169073804268881,NA,NA,NA,NA,NA,NA
2000,"DIV",19,"2001-01-07","BAL",24,"TEN",10,"Home",0,"BAL","TEN",-0.0184578957690684,-0.0588303945326577,-0.0496076728349038,-0.157649127121095,-0.129676286460665,-0.369403171538679,0.012971303422074,0.0850131560365411,-0.157891699225936,-0.115405013438015,-0.146231755871389,-0.274310327507473
2000,"DIV",19,"2001-01-07","PHI",10,"NYG",20,"Home",0,"NYG","PHI",0.0412901644492381,0.0628784620248427,-0.138475298559291,-0.0356929933842819,-0.0743720276384655,-0.101989123490116,0.0343522259682499,0.137208734687241,-0.133543364345533,-0.0296668294260578,0.0444566023582926,-0.294393985010851
2000,"CON",20,"2001-01-14","MIN",0,"NYG",41,"Home",0,"NYG","MIN",0.0953009603003527,0.187037378932334,-0.0262658077147591,0.0695255856273322,0.14863898541443,-0.0490790633324432,0.0343522259682499,0.137208734687241,-0.133543364345533,-0.0296668294260578,0.0444566023582926,-0.294393985010851
2000,"CON",20,"2001-01-14","BAL",16,"OAK",3,"Home",0,"BAL","OAK",-0.0184578957690684,-0.0588303945326577,-0.0496076728349038,-0.157649127121095,-0.129676286460665,-0.369403171538679,NA,NA,NA,NA,NA,NA
