"game_id","season","game_type","week","gameday","away_team","away_score","home_team","home_score","result","location","overtime","winner","loser"
"2024_19_LAC_HOU",2024,"WC",19,"2025-01-11","LAC",12,"HOU",32,20,"Home",0,"HOU","LAC"
"2024_19_PIT_BAL",2024,"WC",19,"2025-01-11","PIT",14,"BAL",28,14,"Home",0,"BAL","PIT"
"2024_19_DEN_BUF",2024,"WC",19,"2025-01-12","DEN",7,"BUF",31,24,"Home",0,"BUF","DEN"
"2024_19_GB_PHI",2024,"WC",19,"2025-01-12","GB",10,"PHI",22,12,"Home",0,"PHI","GB"
"2024_19_WAS_TB",2024,"WC",19,"2025-01-12","WAS",23,"TB",20,-3,"Home",0,"WAS","TB"
"2024_19_MIN_LA",2024,"WC",19,"2025-01-13","MIN",9,"LA",27,18,"Neutral",0,"LA","MIN"
"2024_20_HOU_KC",2024,"DIV",20,"2025-01-18","HOU",14,"KC",23,9,"Home",0,"KC","HOU"
"2024_20_WAS_DET",2024,"DIV",20,"2025-01-18","WAS",45,"DET",31,-14,"Home",0,"WAS","DET"
"2024_20_LA_PHI",2024,"DIV",20,"2025-01-19","LA",22,"PHI",28,6,"Home",0,"PHI","LA"
"2024_20_BAL_BUF",2024,"DIV",20,"2025-01-19","BAL",25,"BUF",27,2,"Home",0,"BUF","BAL"
"2024_21_WAS_PHI",2024,"CON",21,"2025-01-26","WAS",23,"PHI",55,32,"Home",0,"PHI","WAS"
"2024_21_BUF_KC",2024,"CON",21,"2025-01-26","BUF",29,"KC",32,3,"Home",0,"KC","BUF"
"2024_22_KC_PHI",2024,"SB",22,"2025-02-09","KC",22,"PHI",40,18,"Neutral",0,"PHI","KC"
