team,conf,seed,p_reach_div,p_reach_conf,p_win_conf,p_reach_sb,p_win_sb
SEA,NFC,1,1.0,0.6827,0.4508,0.4508,0.2457
DEN,AFC,1,1.0,0.5615,0.274,0.274,0.1483
NE,AFC,2,0.6662,0.4196,0.22825,0.22825,0.10455
JAX,AFC,3,0.5795,0.2624,0.1598,0.1598,0.0761
PHI,NFC,3,0.6675,0.34225,0.1556,0.1556,0.0727
LA,NFC,5,0.57975,0.2603,0.11575,0.11575,0.06595
HOU,AFC,5,0.45585,0.22655,0.1149,0.1149,0.0633
CHI,NFC,2,0.62045,0.3261,0.12445,0.12445,0.06035
BUF,AFC,6,0.4205,0.20465,0.09345,0.09345,0.0433
PIT,AFC,4,0.54415,0.20615,0.0819,0.0819,0.034
CAR,NFC,4,0.42025,0.15125,0.05675,0.05675,0.02415
SF,NFC,6,0.3325,0.1196,0.05175,0.05175,0.02145
LAC,AFC,7,0.3338,0.11915,0.0477,0.0477,0.021
GB,NFC,7,0.37955,0.1178,0.0449,0.0449,0.01915
